__row,Source,Kind Code,Document ID,raw_number,norm_number,Date Published,Filing Date
132,US-PGPUB,A1,US 20250124787 A1,20250124787,20250124787,2025-04-17,2024-10-10
133,USPAT,B2,US 12511997 B2,12511997,12511997,2025-12-30,2024-10-10
134,US-PGPUB,A1,US 20250116535 A1,20250116535,20250116535,2025-04-10,2024-10-06
135,US-PGPUB,A1,US 20250117703 A1,20250117703,20250117703,2025-04-10,2024-09-30
136,US-PGPUB,A1,US 20250115283 A1,20250115283,20250115283,2025-04-10,2024-06-28
137,US-PGPUB,A1,US 20250118069 A1,20250118069,20250118069,2025-04-10,2023-10-04
138,US-PGPUB,A1,US 20250111677 A1,20250111677,20250111677,2025-04-03,2023-01-25
139,US-PGPUB,A1,US 20250111282 A1,20250111282,20250111282,2025-04-03,2024-09-27
140,US-PGPUB,A1,US 20250111668 A1,20250111668,20250111668,2025-04-03,2024-09-25
141,US-PGPUB,A1,US 20250091592 A1,20250091592,20250091592,2025-03-20,2024-11-26
142,US-PGPUB,A1,US 20250085189 A1,20250085189,20250085189,2025-03-13,2023-01-06
143,US-PGPUB,A1,US 20250083909 A1,20250083909,20250083909,2025-03-13,2024-11-22
144,USPAT,B2,US 12448236 B2,12448236,12448236,2025-10-21,2024-11-22
145,US-PGPUB,A1,US 20250078491 A1,20250078491,20250078491,2025-03-06,2022-12-28
146,US-PGPUB,A1,US 20250069178 A1,20250069178,20250069178,2025-02-27,2024-08-22
147,US-PGPUB,A1,US 20250052356 A1,20250052356,20250052356,2025-02-13,2023-08-10
148,USPAT,B2,US 12398837 B2,12398837,12398837,2025-08-26,2023-08-10
149,US-PGPUB,A1,US 20250045772 A1,20250045772,20250045772,2025-02-06,2023-09-19
150,US-PGPUB,A1,US 20250026491 A1,20250026491,20250026491,2025-01-23,2024-10-07
151,USPAT,B2,US 12252268 B2,12252268,12252268,2025-03-18,2024-10-07
152,US-PGPUB,A1,US 20250028338 A1,20250028338,20250028338,2025-01-23,2024-10-07
153,USPAT,B2,US 12203373 B2,12203373,12203373,2025-01-21,2022-12-22
