file,year,url,patents_covered
ipa121122.zip,2012,https://data.uspto.gov/ui/datasets/products/files/APPXML/2012/ipa121122.zip,1
ipa130314.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130314.zip,1
ipa130321.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130321.zip,1
ipa130418.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130418.zip,1
ipa130502.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130502.zip,1
ipa130620.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa130620.zip,3
ipa131024.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa131024.zip,1
ipa131114.zip,2013,https://data.uspto.gov/ui/datasets/products/files/APPXML/2013/ipa131114.zip,1
ipa140102.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140102.zip,1
ipa140213.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140213.zip,1
ipa140417.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140417.zip,2
ipa140424.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140424.zip,1
ipa140515.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140515.zip,1
ipa140522.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140522.zip,1
ipa140529.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140529.zip,1
ipa140612.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140612.zip,1
ipa140710.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140710.zip,1
ipa140821.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140821.zip,2
ipa140828.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa140828.zip,1
ipa141023.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141023.zip,2
ipa141030.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141030.zip,1
ipa141113.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141113.zip,1
ipa141204.zip,2014,https://data.uspto.gov/ui/datasets/products/files/APPXML/2014/ipa141204.zip,1
ipa150212.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150212.zip,1
ipa150305.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150305.zip,3
ipa150521.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150521.zip,1
ipa150625.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150625.zip,1
ipa150702.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150702.zip,1
ipa150716.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150716.zip,1
ipa150723.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150723.zip,1
ipa150730.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150730.zip,1
ipa150806.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150806.zip,2
ipa150827.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa150827.zip,1
ipa151119.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151119.zip,1
ipa151210.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151210.zip,1
ipa151224.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151224.zip,2
ipa151231.zip,2015,https://data.uspto.gov/ui/datasets/products/files/APPXML/2015/ipa151231.zip,1
ipa160114.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160114.zip,1
ipa160225.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160225.zip,1
ipa160303.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160303.zip,1
ipa160407.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160407.zip,1
ipa160421.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160421.zip,1
ipa160526.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160526.zip,1
ipa160630.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160630.zip,1
ipa160721.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160721.zip,1
ipa160818.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160818.zip,1
ipa160901.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160901.zip,1
ipa160915.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa160915.zip,2
ipa161110.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161110.zip,3
ipa161117.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161117.zip,1
ipa161208.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161208.zip,1
ipa161215.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161215.zip,2
ipa161222.zip,2016,https://data.uspto.gov/ui/datasets/products/files/APPXML/2016/ipa161222.zip,1
ipa170112.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170112.zip,1
ipa170119.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170119.zip,1
ipa170126.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170126.zip,1
ipa170209.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170209.zip,2
ipa170309.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170309.zip,1
ipa170316.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170316.zip,1
ipa170323.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170323.zip,1
ipa170330.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170330.zip,4
ipa170427.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170427.zip,1
ipa170504.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170504.zip,1
ipa170511.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170511.zip,1
ipa170525.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170525.zip,1
ipa170615.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170615.zip,1
ipa170622.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170622.zip,3
ipa170629.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170629.zip,1
ipa170720.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170720.zip,2
ipa170803.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170803.zip,1
ipa170810.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170810.zip,1
ipa170914.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170914.zip,1
ipa170928.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa170928.zip,1
ipa171019.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171019.zip,1
ipa171026.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171026.zip,1
ipa171109.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171109.zip,1
ipa171130.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171130.zip,1
ipa171228.zip,2017,https://data.uspto.gov/ui/datasets/products/files/APPXML/2017/ipa171228.zip,1
ipa180104.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180104.zip,1
ipa180111.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180111.zip,2
ipa180125.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180125.zip,1
ipa180201.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180201.zip,1
ipa180215.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180215.zip,1
ipa180308.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180308.zip,1
ipa180322.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180322.zip,2
ipa180405.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180405.zip,1
ipa180510.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180510.zip,3
