citing_pub,cited_pub,cited_pub_normalized,cited_pub_country,cited_ipc,cited_cpc,cited_national_class,category,citation_type,cited_npl_text,cited_ipc3
8725665,6154731,6154731,US,,,,cited by applicant,patcit,,
8725665,6169981,6169981,US,,,,cited by applicant,patcit,,
8725665,6219650,6219650,US,,,,cited by applicant,patcit,,
8725665,6266619,6266619,US,,,,cited by applicant,patcit,,
8725665,6308162,6308162,US,,,,cited by applicant,patcit,,
8725665,6311144,6311144,US,,,,cited by applicant,patcit,,
8725665,6321205,6321205,US,,,,cited by applicant,patcit,,
8725665,6434435,6434435,US,,,,cited by applicant,patcit,,
8725665,6519568,6519568,US,,,,cited by applicant,patcit,,
8725665,6581045,6581045,US,,,,cited by applicant,patcit,,
8725665,6629044,6629044,US,,,,cited by applicant,patcit,,
8725665,6772211,6772211,US,,,,cited by applicant,patcit,,
8725665,6807537,6807537,US,,,,cited by applicant,patcit,,
8725665,6826483,6826483,US,,,,cited by applicant,patcit,,
8725665,6829384,6829384,US,,,,cited by applicant,patcit,,
8725665,6944678,6944678,US,,,,cited by applicant,patcit,,
8725665,6963793,6963793,US,,,,cited by applicant,patcit,,
8725665,7106045,7106045,US,,,,cited by applicant,patcit,,
8725665,7127584,7127584,US,,,,cited by applicant,patcit,,
8725665,7130832,7130832,US,,,,cited by applicant,patcit,,
8725665,7132623,7132623,US,,,,cited by applicant,patcit,,
8725665,7233843,7233843,US,,,,cited by applicant,patcit,,
8725665,7236953,7236953,US,,,,cited by applicant,patcit,,
8725665,7243081,7243081,US,,,,cited by applicant,patcit,,
8725665,7274975,7274975,US,,,,cited by applicant,patcit,,
8725665,7369950,7369950,US,,,,cited by applicant,patcit,,
8725665,7395252,7395252,US,,,,cited by applicant,patcit,,
8725665,7467119,7467119,US,,,,cited by applicant,patcit,,
8725665,7519506,7519506,US,,,,cited by applicant,patcit,,
8725665,7555454,7555454,US,,,,cited by applicant,patcit,,
8725665,7590472,7590472,US,,,,cited by applicant,patcit,,
8725665,7873567,7873567,US,,,,cited by applicant,patcit,,
8725665,7925557,7925557,US,,,,cited by applicant,patcit,,
8725665,7945524,7945524,US,,,,cited by applicant,patcit,,
8725665,8036996,8036996,US,,,,cited by applicant,patcit,,
8725665,8116915,8116915,US,,,,cited by applicant,patcit,,
8725665,8305737,8305737,US,,,,cited by applicant,patcit,,
8725665,2001/0049651,20010049651,US,,,,cited by applicant,patcit,,
8725665,2002/0001307,20020001307,US,,,,cited by applicant,patcit,,
8725665,2002/0084655,20020084655,US,,,,cited by applicant,patcit,,
8725665,2002/0087234,20020087234,US,,,,cited by applicant,patcit,,
8725665,2002/0198627,20020198627,US,,,,cited by applicant,patcit,,
8725665,2003/0130755,20030130755,US,,,,cited by applicant,patcit,,
8725665,2003/0171851,20030171851,US,,,,cited by applicant,patcit,,
8725665,2003/0188208,20030188208,US,,,,cited by applicant,patcit,,
8725665,2004/0143477,20040143477,US,,,,cited by applicant,patcit,,
8725665,2004/0158417,20040158417,US,,,,cited by applicant,patcit,,
8725665,2004/0158772,20040158772,US,,,,cited by applicant,patcit,,
8725665,2004/0163895,20040163895,US,,,,cited by applicant,patcit,,
8725665,2004/0267395,20040267395,US,,,,cited by applicant,patcit,,
8725665,2005/0033707,20050033707,US,,,,cited by applicant,patcit,,
8725665,2005/0034023,20050034023,US,,,,cited by applicant,patcit,,
8725665,2005/0207081,20050207081,US,,,,cited by applicant,patcit,,
8725665,2006/0106797,20060106797,US,,,,cited by applicant,patcit,,
8725665,2006/0168398,20060168398,US,,,,cited by applicant,patcit,,
8725665,2006/0185756,20060185756,US,,,,cited by applicant,patcit,,
8725665,2006/0200400,20060200400,US,,,,cited by applicant,patcit,,
8725665,2006/0259199,20060259199,US,,,,cited by applicant,patcit,,
8725665,2006/0288260,20060288260,US,,,,cited by applicant,patcit,,
8725665,2007/0094187,20070094187,US,,,,cited by applicant,patcit,,
8725665,2007/0177508,20070177508,US,,,,cited by applicant,patcit,,
8725665,2007/0192078,20070192078,US,,,,cited by applicant,patcit,,
8725665,2007/0198108,20070198108,US,,,,cited by applicant,patcit,,
8725665,2007/0228843,20070228843,US,,,,cited by applicant,patcit,,
8725665,2007/0271006,20070271006,US,,,,cited by applicant,patcit,,
8725665,2008/0039980,20080039980,US,,,,cited by applicant,patcit,,
8725665,2008/0109205,20080109205,US,,,,cited by applicant,patcit,,
8725665,2008/0126171,20080126171,US,,,,cited by applicant,patcit,,
8725665,2008/0167756,20080167756,US,,,,cited by applicant,patcit,,
8725665,2008/0177678,20080177678,US,,,,cited by applicant,patcit,,
8725665,2008/0183339,20080183339,US,,,,cited by applicant,patcit,,
8725665,2008/0250265,20080250265,US,,,,cited by applicant,patcit,,
8725665,2008/0281663,20080281663,US,,,,cited by applicant,patcit,,
8725665,2008/0294387,20080294387,US,,,,cited by applicant,patcit,,
8725665,2008/0313006,20080313006,US,,,,cited by applicant,patcit,,
8725665,2008/0319923,20080319923,US,,,,cited by applicant,patcit,,
8725665,2009/0031241,20090031241,US,,,,cited by applicant,patcit,,
8725665,2009/0063094,20090063094,US,,,,cited by applicant,patcit,,
8725665,2009/0063122,20090063122,US,,,,cited by applicant,patcit,,
8725665,2009/0076749,20090076749,US,,,,cited by applicant,patcit,,
8725665,2009/0113049,20090113049,US,,,,cited by applicant,patcit,,
8725665,2009/0157573,20090157573,US,,,,cited by applicant,patcit,,
8725665,2009/0178089,20090178089,US,,,,cited by applicant,patcit,,
8725665,2009/0187285,20090187285,US,,,,cited by applicant,patcit,,
8725665,2009/0240380,20090240380,US,,,,cited by applicant,patcit,,
8725665,2010/0106641,20100106641,US,,,,cited by applicant,patcit,,
8725665,2010/0107173,20100107173,US,,,,cited by applicant,patcit,,
