doc_id,domain,year,dominant_topic,max_prob
10614222,patent,2017,9,0.9986
10614709,patent,2019,1,0.7469
10628253,patent,2018,9,0.7847
10630703,patent,2019,9,0.7191
10630704,patent,2019,9,0.6882
10630715,patent,2019,9,0.7109
10630716,patent,2019,9,0.7457
10635067,patent,2018,5,0.82
10642265,patent,2018,7,0.5457
10664242,patent,2017,9,0.4799
10682989,patent,2018,0,0.4344
10692365,patent,2018,7,0.9882
10727930,patent,2018,5,0.4964
10732011,patent,2017,5,0.4347
10738456,patent,2016,11,0.5503
10742874,patent,2019,7,0.5799
10761894,patent,2018,12,0.6379
10776880,patent,2017,0,0.9903
10778517,patent,2018,9,0.7711
10778601,patent,2014,9,0.7442
10783680,patent,2019,4,0.5002
10803745,patent,2020,1,0.7395
10805396,patent,2018,13,0.9431
10817402,patent,2018,9,0.5423
10821971,patent,2018,7,0.9989
10825340,patent,2017,7,0.9218
10831191,patent,2018,7,0.9987
10834610,patent,2019,9,0.7086
10846167,patent,2018,13,0.5742
10853931,patent,2019,8,0.4746
10867512,patent,2019,7,0.9434
10871444,patent,2018,8,0.4083
10880623,patent,2017,5,0.3286
10892961,patent,2019,9,0.9895
10902207,patent,2018,9,0.7254
10909866,patent,2018,7,0.5755
10917168,patent,2019,5,0.6925
10917483,patent,2018,9,0.7646
10925536,patent,2015,11,0.4787
10929193,patent,2019,12,0.8219
10943464,patent,2019,9,0.3117
10962133,patent,2016,4,0.5384
10967970,patent,2017,10,0.9129
10977740,patent,2020,0,0.9987
10997329,patent,2016,13,0.66
10999180,patent,2020,9,0.9002
11001319,patent,2018,5,0.6403
11001979,patent,2019,0,0.5631
11009469,patent,2018,1,0.6392
11014238,patent,2017,10,0.4763
11014667,patent,2018,5,0.394
11017189,patent,2018,5,0.5392
11022561,patent,2019,11,0.4801
11022976,patent,2017,1,0.7274
11037024,patent,2019,8,0.2717
11074292,patent,2018,5,0.3948
11082293,patent,2020,9,0.822
11094191,patent,2019,7,0.3393
11098455,patent,2019,12,0.5427
11105662,patent,2018,5,0.4364
11106208,patent,2018,5,0.3823
11125537,patent,2020,0,0.785
11127290,patent,2015,7,0.9437
11127295,patent,2019,7,0.4318
11135611,patent,2018,5,0.8996
11137732,patent,2019,9,0.8733
11158173,patent,2020,4,0.5769
11167812,patent,2019,5,0.908
11199823,patent,2017,12,0.4207
11201865,patent,2020,2,0.926
11216663,patent,2020,0,0.476
11231709,patent,2018,7,0.8004
11260545,patent,2020,11,0.5994
11262196,patent,2019,11,0.7373
11273575,patent,2017,13,0.9186
11277317,patent,2019,9,0.9983
11288970,patent,2019,7,0.6636
11293146,patent,2019,7,0.8482
11293761,patent,2020,0,0.8557
11302034,patent,2020,8,0.3819
11306857,patent,2021,5,0.4967
11310126,patent,2019,9,0.9741
11348464,patent,2022,7,0.3642
11359492,patent,2020,4,0.3513
11360464,patent,2021,2,0.2926
11361423,patent,2020,8,0.5721
11361537,patent,2020,1,0.5007
11377212,patent,2020,11,0.4718
11393114,patent,2018,12,0.3034
11397606,patent,2019,9,0.8375
11410404,patent,2021,12,0.7698
11412429,patent,2018,12,0.5779
11415425,patent,2021,9,0.9056
11415486,patent,2018,12,0.5302
11416369,patent,2020,0,0.6276
11430328,patent,2020,7,0.9973
11436777,patent,2021,9,0.4129
11442438,patent,2019,0,0.9888
11442836,patent,2019,9,0.88
11443515,patent,2019,0,0.998
11443642,patent,2019,9,0.775
11448544,patent,2020,5,0.5074
11449050,patent,2018,7,0.5993
11466805,patent,2022,4,0.7027
11467574,patent,2018,7,0.4434
11467590,patent,2019,0,0.369
11475385,patent,2021,5,0.4398
11481714,patent,2017,13,0.5337
11481734,patent,2020,0,0.6175
11487264,patent,2018,6,0.4347
11491296,patent,2020,12,0.6506
11492905,patent,2019,5,0.3707
11493939,patent,2020,1,0.3642
11495118,patent,2018,0,0.4827
11495126,patent,2019,7,0.9988
11505903,patent,2021,0,0.6981
11511493,patent,2020,10,0.8315
11513233,patent,2018,5,0.7638
11514798,patent,2020,12,0.2669
11514800,patent,2022,7,0.7076
11521026,patent,2020,0,0.8349
11521081,patent,2018,12,0.5589
11526744,patent,2017,0,0.576
11534919,patent,2019,13,0.486
11546360,patent,2019,14,0.3933
11551563,patent,2022,7,0.6367
11553055,patent,2021,2,0.5615
11554479,patent,2022,10,0.4748
11555912,patent,2019,11,0.5136
11561541,patent,2019,13,0.6086
11561546,patent,2018,1,0.8358
11566402,patent,2018,4,0.902
11568597,patent,2019,0,0.9991
11573005,patent,2022,5,0.5979
11583770,patent,2021,10,0.5599
11586201,patent,2020,6,0.4686
11593952,patent,2021,8,0.4768
11594021,patent,2022,1,0.534
11614410,patent,2021,11,0.4877
11618455,patent,2019,7,0.8928
11620742,patent,2020,9,0.5205
11626002,patent,2021,4,0.75
11636359,patent,2020,9,0.5193
11640462,patent,2022,0,0.9977
11645064,patent,2020,7,0.9986
11645877,patent,2022,9,0.6989
11654903,patent,2021,5,0.4178
11655701,patent,2020,4,0.8061
11656298,patent,2021,9,0.7694
11689412,patent,2021,13,0.4371
11691727,patent,2020,5,0.5648
11696571,patent,2021,10,0.9985
11710085,patent,2019,9,0.3915
11710402,patent,2020,7,0.9107
11714878,patent,2021,0,0.4628
11714940,patent,2022,1,0.9873
11717843,patent,2021,5,0.8054
11719005,patent,2019,5,0.7124
11724275,patent,2021,5,0.8069
11726194,patent,2021,5,0.2957
11738461,patent,2020,9,0.2466
11740160,patent,2022,12,0.4753
11769285,patent,2022,1,0.3977
11769381,patent,2021,0,0.5253
11770020,patent,2022,4,0.9323
11785022,patent,2020,13,0.53
11790509,patent,2021,12,0.3347
11797733,patent,2022,1,0.7978
11805461,patent,2022,12,0.6026
11807278,patent,2020,7,0.8333
11812196,patent,2021,6,0.5431
11818640,patent,2021,9,0.3987
11822423,patent,2021,9,0.6803
11833762,patent,2022,2,0.3832
11842642,patent,2019,7,0.9455
11847913,patent,2020,1,0.6643
11850515,patent,2022,10,0.506
11853953,patent,2021,12,0.4267
11854391,patent,2020,7,0.9984
11858121,patent,2021,0,0.6167
11861002,patent,2023,0,0.984
11867055,patent,2021,11,0.3724
11868869,patent,2023,8,0.2483
11874676,patent,2020,5,0.2997
11875410,patent,2021,0,0.9162
11875661,patent,2022,4,0.666
11875665,patent,2022,0,0.5046
11880347,patent,2021,9,0.595
11881015,patent,2020,8,0.3836
11881101,patent,2022,7,0.9927
11908048,patent,2020,4,0.411
11908121,patent,2023,11,0.3859
RE49864,patent,2022,7,0.9694
11920327,patent,2023,4,0.9291
11920814,patent,2022,4,0.9049
11924843,patent,2021,1,0.7976
11931754,patent,2021,5,0.9962
11932244,patent,2021,12,0.6878
11935288,patent,2022,0,0.5115
11938964,patent,2020,7,0.9713
11940894,patent,2022,0,0.5509
11955020,patent,2021,12,0.417
11959057,patent,2020,12,0.5118
11969901,patent,2022,13,0.5039
11972253,patent,2022,9,0.8052
11981337,patent,2019,7,0.4548
11985044,patent,2022,9,0.9842
11993298,patent,2020,1,0.6639
12005586,patent,2021,0,0.4716
12007227,patent,2022,11,0.752
12012728,patent,2020,4,0.3185
12020558,patent,2020,13,0.7
12031922,patent,2020,11,0.5668
12032945,patent,2023,7,0.9986
12043415,patent,2022,10,0.7356
12046145,patent,2020,7,0.6757
12051047,patent,2020,9,0.359
12056917,patent,2020,1,0.6939
12061459,patent,2021,9,0.7834
12062231,patent,2023,6,0.3144
12072298,patent,2021,11,0.6755
12089038,patent,2020,9,0.4428
12094200,patent,2023,8,0.3422
12094355,patent,2020,7,0.5802
12098980,patent,2023,12,0.5022
12101223,patent,2019,9,0.5427
12112650,patent,2020,7,0.5792
12118085,patent,2023,0,0.9964
12118703,patent,2021,8,0.3777
12124926,patent,2021,9,0.894
12124979,patent,2023,9,0.3781
12125262,patent,2022,12,0.4855
12130204,patent,2020,7,0.4033
12130890,patent,2023,0,0.4314
12139279,patent,2020,11,0.434
12141759,patent,2021,9,0.322
12143894,patent,2021,9,0.5168
12159385,patent,2024,8,0.4172
12184509,patent,2022,9,0.9471
12190726,patent,2023,7,0.88
12197373,patent,2021,5,0.4697
12197829,patent,2023,1,0.9989
12200406,patent,2024,9,0.249
12202634,patent,2023,10,0.7923
12203373,patent,2022,11,0.445
12205415,patent,2023,9,0.5723
12207861,patent,2021,8,0.5666
12214283,patent,2023,10,0.5386
12214806,patent,2021,5,0.4102
12223819,patent,2023,4,0.6369
12227304,patent,2019,5,0.5808
12228897,patent,2023,6,0.9549
12250044,patent,2022,9,0.9192
12252268,patent,2024,0,0.4144
12252899,patent,2022,1,0.6748
12270561,patent,2019,1,0.5968
12271729,patent,2023,9,0.4783
12275428,patent,2021,7,0.7039
12286120,patent,2022,7,0.606
12306073,patent,2023,6,0.7443
12307698,patent,2022,0,0.2907
12309174,patent,2021,2,0.9456
12313099,patent,2024,4,0.7546
12314388,patent,2023,0,0.8728
12322294,patent,2020,7,0.6524
12326935,patent,2022,9,0.8153
12332615,patent,2022,1,0.84
12347038,patent,2020,8,0.6578
12351059,patent,2024,9,0.7188
12353222,patent,2023,5,0.339
12360537,patent,2024,5,0.5098
12365374,patent,2020,2,0.9243
12378783,patent,2020,4,0.872
12386722,patent,2022,9,0.9971
12389886,patent,2023,10,0.9749
12394311,patent,2023,1,0.6792
12395397,patent,2023,9,0.9514
12398837,patent,2023,5,0.3583
12422158,patent,2022,6,0.4486
12443182,patent,2022,7,0.4102
12443902,patent,2020,5,0.409
12448236,patent,2024,5,0.4601
12449151,patent,2021,1,0.55
12451021,patent,2022,12,0.8874
12452363,patent,2023,9,0.5825
12456154,patent,2022,0,0.4128
12462080,patent,2023,1,0.9771
12462291,patent,2021,5,0.3746
12468892,patent,2023,9,0.6086
12469004,patent,2023,9,0.381
12479606,patent,2023,10,0.9114
12480275,patent,2022,5,0.2288
12481282,patent,2021,1,0.5658
12484096,patent,2021,9,0.6263
12485330,patent,2025,5,0.8294
12488622,patent,2023,8,0.3832
12494086,patent,2023,8,0.456
12509071,patent,2020,2,0.6762
12511997,patent,2024,0,0.4852
12518567,patent,2023,8,0.4672
12524219,patent,2022,7,0.9988
12528749,patent,2021,13,0.6972
12540687,patent,2022,4,0.7495
12548341,patent,2025,9,0.2383
12550299,patent,2023,11,0.3999
12553766,patent,2025,13,0.7383
12555471,patent,2022,7,0.9991
12556441,patent,2024,9,0.9983
12556454,patent,2021,9,0.8064
12562061,patent,2024,8,0.4398
12562280,patent,2025,3,0.3665
12571646,patent,2023,2,0.8131
12577048,patent,2021,5,0.7571
12579120,patent,2023,9,0.7544
12580833,patent,2024,9,0.6561
12583715,patent,2023,0,0.3243
12585971,patent,2023,11,0.3546
12586140,patent,2022,0,0.4376
12602597,patent,2021,0,0.675
12607031,patent,2023,5,0.8299
12607996,patent,2025,13,0.461
12608939,patent,2023,8,0.604
12613164,patent,2025,13,0.4631
12613897,patent,2025,9,0.3489
12615334,patent,2025,9,0.7493
12620176,patent,2022,8,0.5873
12625255,patent,2024,2,0.5114
12632709,patent,2025,9,0.5194
12632950,patent,2021,0,0.6223
12639620,patent,2021,0,0.7777
12639952,patent,2024,8,0.6153
20140006601,patent,2012,9,0.8248
20140047064,patent,2013,9,0.8996
20140104066,patent,2013,13,0.6963
20140104972,patent,2013,13,0.9991
20140115579,patent,2012,9,0.542
20140136251,patent,2014,9,0.4952
20140142785,patent,2013,9,0.432
20140145858,patent,2011,5,0.709
20140163759,patent,2013,5,0.2754
20140189994,patent,2013,2,0.472
20140233141,patent,2014,2,0.5995
20140236390,patent,2013,5,0.9393
20140245071,patent,2014,4,0.7913
20140313851,patent,2014,4,0.3518
20140316594,patent,2013,4,0.4031
20140320011,patent,2014,5,0.724
20140336928,patent,2014,9,0.2908
20140358416,patent,2013,1,0.2675
20150040661,patent,2013,11,0.3719
20150066827,patent,2013,9,0.5316
20150067569,patent,2013,9,0.3418
20150067649,patent,2014,8,0.5403
20150140954,patent,2014,9,0.43
20150181390,patent,2015,5,0.4557
20150186472,patent,2013,9,0.6253
20150198502,patent,2015,11,0.4812
20150205297,patent,2015,10,0.3479
20150212901,patent,2014,9,0.7794
20150217612,patent,2015,7,0.3961
20150219785,patent,2013,5,0.2957
20150241878,patent,2014,7,0.5556
20150332523,patent,2015,13,0.8757
20150353196,patent,2015,12,0.272
20150369955,patent,2015,7,0.5875
20150370674,patent,2014,9,0.7679
20150378866,patent,2015,9,0.5723
20160010878,patent,2015,4,0.7009
20160052127,patent,2015,10,0.3635
20160065417,patent,2015,9,0.6589
20160096637,patent,2015,5,0.5067
20160109865,patent,2014,5,0.3165
20160146758,patent,2014,0,0.3149
20160189542,patent,2015,7,0.3998
20160212818,patent,2016,5,0.724
20160238438,patent,2013,0,0.4383
20160250775,patent,2014,13,0.9977
20160264223,patent,2014,12,0.4236
20160267669,patent,2016,8,0.3188
20160328313,patent,2016,8,0.5249
20160328952,patent,2016,0,0.9984
20160330219,patent,2016,14,0.5953
20160331310,patent,2015,9,0.3456
20160358449,patent,2015,13,0.8936
20160363543,patent,2015,1,0.5466
20160363932,patent,2016,0,0.47
20160369629,patent,2014,11,0.6912
20170011318,patent,2016,12,0.7267
20170019483,patent,2016,9,0.8803
20170027045,patent,2016,5,0.4204
20170038407,patent,2015,11,0.4456
20170041978,patent,2016,5,0.4438
20170068244,patent,2015,0,0.5202
20170073071,patent,2016,5,0.444
20170080914,patent,2015,3,0.336
20170087743,patent,2016,13,0.9982
20170088368,patent,2015,5,0.5365
20170089599,patent,2016,5,0.458
20170090484,patent,2015,5,0.3526
20170115826,patent,2016,7,0.3535
20170124777,patent,2016,13,0.868
20170134974,patent,2016,9,0.4465
20170147482,patent,2015,9,0.5682
20170169699,patent,2017,0,0.9986
20170176190,patent,2017,5,0.4142
20170178417,patent,2015,9,0.5955
20170180201,patent,2015,13,0.9521
20170182662,patent,2016,5,0.4301
20170206648,patent,2017,8,0.5412
20170206781,patent,2017,5,0.7487
20170220718,patent,2016,13,0.7597
20170225783,patent,2017,10,0.9148
20170259788,patent,2016,5,0.6264
20170279702,patent,2016,13,0.6947
20170300844,patent,2017,9,0.5264
20170308082,patent,2017,7,0.6944
20170323107,patent,2017,9,0.8369
20170345320,patent,2017,12,0.3113
20170370089,patent,2016,11,0.599
20180004211,patent,2016,7,0.8213
20180012125,patent,2017,0,0.6514
20180012504,patent,2017,5,0.3867
20180025626,patent,2017,5,0.6925
20180031142,patent,2016,4,0.4991
20180046696,patent,2016,9,0.9497
20180067842,patent,2016,10,0.4726
20180082139,patent,2016,3,0.4122
20180082414,patent,2017,0,0.8266
20180098137,patent,2017,5,0.3353
20180130322,patent,2016,5,0.8171
20180130361,patent,2017,0,0.2428
20180131592,patent,2016,9,0.9088
20180134334,patent,2017,5,0.9182
20180137216,patent,2018,0,0.5104
20180143312,patent,2017,12,0.4705
20180156618,patent,2018,5,0.3862
20180160254,patent,2017,9,0.5108
20180196739,patent,2018,9,0.5158
20180239902,patent,2017,9,0.9985
20180248754,patent,2018,13,0.929
20180262571,patent,2017,3,0.4515
20180262862,patent,2017,9,0.5874
20180267562,patent,2018,7,0.3792
20180269091,patent,2017,12,0.97
20180283020,patent,2017,4,0.7141
20180321654,patent,2017,9,0.8228
20180330238,patent,2018,8,0.3214
20180341535,patent,2018,9,0.7847
20180342411,patent,2018,12,0.9
20180347752,patent,2016,5,0.3973
20180354143,patent,2018,11,0.5111
20180358910,patent,2016,5,0.759
20180374038,patent,2017,13,0.5272
20180375947,patent,2018,2,0.5025
20190026886,patent,2018,7,0.2677
20190028546,patent,2018,13,0.9434
20190036594,patent,2018,5,0.4888
20190041850,patent,2018,7,0.7823
20190043355,patent,2018,7,0.5577
20190049274,patent,2017,5,0.3969
20190050942,patent,2017,0,0.9619
20190061705,patent,2018,0,0.4384
20190088148,patent,2018,7,0.5609
20190095268,patent,2018,9,0.514
20190096232,patent,2018,14,0.3577
20190096238,patent,2018,7,0.9926
20190108374,patent,2018,5,0.4781
20190112046,patent,2018,5,0.399
20190118390,patent,2018,5,0.6651
20190126510,patent,2017,13,0.9153
20190128711,patent,2018,5,0.4364
20190129433,patent,2017,1,0.7319
20190145909,patent,2018,1,0.5892
20190156531,patent,2019,4,0.4445
20190160482,patent,2018,5,0.9123
20190160675,patent,2017,10,0.3791
20190160677,patent,2016,1,0.3558
20190171950,patent,2019,9,0.6754
20190171983,patent,2018,9,0.3014
20190196432,patent,2017,12,0.4058
20190205241,patent,2018,9,0.5067
20190205340,patent,2018,5,0.3948
20190206044,patent,2019,8,0.4746
20190222751,patent,2019,7,0.5845
20190225288,patent,2019,5,0.9152
20190244521,patent,2019,7,0.9425
20190260794,patent,2019,14,0.3993
20190266502,patent,2019,9,0.8746
20190271957,patent,2018,5,0.8171
20190286985,patent,2019,8,0.322
20190295125,patent,2019,4,0.2663
20190296971,patent,2018,9,0.7698
20190310636,patent,2019,13,0.6488
20190310650,patent,2019,7,0.3631
20190310891,patent,2018,12,0.6673
20190315343,patent,2018,2,0.5132
20190316902,patent,2019,11,0.7568
20190333378,patent,2019,7,0.3216
20190347931,patent,2019,7,0.856
20190354410,patent,2019,12,0.8028
20190368133,patent,2019,12,0.5553
20190392712,patent,2019,7,0.9038
20200004249,patent,2019,7,0.4599
20200019167,patent,2018,11,0.4026
20200020227,patent,2019,7,0.8146
20200035098,patent,2019,1,0.7399
20200037359,patent,2018,1,0.4401
20200040556,patent,2018,4,0.9213
20200048847,patent,2019,0,0.6906
20200050162,patent,2018,6,0.4479
20200050192,patent,2018,7,0.5396
20200053523,patent,2019,5,0.4557
20200054216,patent,2019,8,0.2373
20200057432,patent,2019,0,0.9817
20200058161,patent,2019,0,0.9989
20200072706,patent,2018,12,0.5302
20200072744,patent,2018,8,0.4216
20200077314,patent,2018,12,0.5068
20200089761,patent,2018,9,0.7186
20200097479,patent,2019,2,0.7017
20200097874,patent,2018,9,0.3444
20200108803,patent,2019,7,0.4116
20200110041,patent,2019,11,0.4919
20200120519,patent,2018,9,0.9317
20200142052,patent,2019,11,0.516
20200150656,patent,2019,1,0.3389
20200150668,patent,2019,1,0.4043
20200160193,patent,2018,12,0.5586
20200168081,patent,2020,7,0.9926
20200168085,patent,2020,1,0.7596
20200169493,patent,2020,9,0.8936
20200191951,patent,2019,5,0.3404
20200191965,patent,2019,5,0.3656
20200200592,patent,2019,5,0.6397
20200202136,patent,2019,0,0.9982
20200208994,patent,2020,0,0.8609
20200209823,patent,2019,9,0.8732
20200232767,patent,2020,0,0.8026
20200245434,patent,2019,5,0.6618
20200255148,patent,2020,11,0.4517
20200258163,patent,2020,0,0.9984
20200259722,patent,2019,9,0.9888
20200260295,patent,2019,9,0.7256
20200273352,patent,2019,7,0.465
20200282564,patent,2019,13,0.5135
20200316331,patent,2020,12,0.6281
20200336374,patent,2020,9,0.8226
20200342767,patent,2020,7,0.4246
20200349842,patent,2019,7,0.4299
20200364034,patent,2020,9,0.3756
20200364995,patent,2020,4,0.5769
20200378927,patent,2017,5,0.2464
20200391061,patent,2019,7,0.2852
20200394784,patent,2020,8,0.5721
20200399911,patent,2020,4,0.8785
20200400483,patent,2020,5,0.4349
20200401134,patent,2019,1,0.4043
20200402279,patent,2020,4,0.4054
20200402398,patent,2020,1,0.6878
20200410250,patent,2020,1,0.2147
20210018205,patent,2019,1,0.613
20210019873,patent,2020,9,0.4733
20210021595,patent,2020,2,0.926
20210027624,patent,2019,5,0.3221
20210031756,patent,2020,7,0.9989
20210031780,patent,2019,7,0.9319
20210041868,patent,2020,7,0.9986
20210044496,patent,2019,9,0.9982
20210044499,patent,2019,9,0.9908
20210049027,patent,2019,9,0.8386
20210069918,patent,2020,11,0.5736
20210073692,patent,2020,5,0.4177
20210074152,patent,2020,7,0.9124
20210081899,patent,2020,0,0.5939
20210082296,patent,2020,7,0.5675
20210082297,patent,2020,7,0.613
20210086765,patent,2020,7,0.9559
20210086788,patent,2020,7,0.9617
20210099870,patent,2020,9,0.4059
20210101679,patent,2020,9,0.4493
20210103282,patent,2020,1,0.5813
20210104165,patent,2020,7,0.6909
20210110726,patent,2020,7,0.4592
20210114219,patent,2020,6,0.3032
20210115368,patent,2020,12,0.5078
20210117716,patent,2020,0,0.8358
20210118294,patent,2020,7,0.9981
20210123965,patent,2019,5,0.5247
20210136164,patent,2021,9,0.5093
20210140181,patent,2019,5,0.775
20210146631,patent,2020,10,0.8327
20210151202,patent,2020,6,0.369
20210157012,patent,2018,5,0.8094
20210158207,patent,2019,9,0.3708
20210164348,patent,2020,4,0.3597
20210169409,patent,2021,11,0.3772
20210173414,patent,2020,5,0.2888
20210187761,patent,2020,5,0.391
20210192639,patent,2021,0,0.998
20210197851,patent,2020,3,0.224
20210231254,patent,2021,5,0.4967
20210231575,patent,2021,11,0.4919
20210232800,patent,2021,0,0.4628
20210233381,patent,2020,9,0.2006
20210237725,patent,2021,5,0.402
20210239818,patent,2021,5,0.2957
20210241182,patent,2020,9,0.7202
20210248915,patent,2020,7,0.644
20210253271,patent,2019,5,0.5573
20210255917,patent,2021,9,0.6867
20210256685,patent,2021,12,0.3355
20210260764,patent,2021,0,0.4475
20210263514,patent,2020,6,0.5013
20210278478,patent,2021,9,0.7617
20210278849,patent,2018,1,0.8206
20210279657,patent,2021,9,0.3357
20210298122,patent,2020,5,0.4455
20210302949,patent,2021,8,0.2387
20210304114,patent,2019,0,0.5155
20210307057,patent,2021,1,0.7989
20210309361,patent,2019,5,0.6272
20210312406,patent,2020,9,0.3869
20210325070,patent,2021,1,0.5176
20210325191,patent,2017,12,0.6583
20210340856,patent,2020,4,0.7454
20210343158,patent,2020,12,0.3325
20210366296,patent,2019,9,0.7248
20210389257,patent,2020,11,0.512
20210390280,patent,2020,1,0.5067
20210390427,patent,2020,9,0.5168
20210390624,patent,2018,9,0.4964
20210390790,patent,2021,12,0.7787
20210392147,patent,2020,13,0.5075
20210394219,patent,2021,5,0.9277
20210394220,patent,2021,5,0.8905
20210398227,patent,2021,9,0.6224
20210404123,patent,2019,7,0.8428
20210404129,patent,2021,0,0.6933
20220003524,patent,2021,0,0.7989
20220004190,patent,2019,5,0.702
20220012918,patent,2020,8,0.3819
20220014547,patent,2021,14,0.7337
20220028054,patent,2021,8,0.3519
20220036319,patent,2020,7,0.6015
20220044567,patent,2020,7,0.6811
20220051543,patent,2021,5,0.4323
20220052915,patent,2019,9,0.6128
20220058573,patent,2021,9,0.3932
20220062936,patent,2021,5,0.8765
20220076554,patent,2020,14,0.3573
20220078188,patent,2021,2,0.9483
20220082717,patent,2020,4,0.2758
20220089152,patent,2021,12,0.683
20220092856,patent,2020,8,0.6805
20220100594,patent,2021,9,0.8091
20220101507,patent,2021,0,0.6105
20220108242,patent,2021,5,0.4327
20220119005,patent,2020,7,0.8607
20220130145,patent,2022,0,0.4847
20220138970,patent,2021,8,0.3796
20220147043,patent,2022,7,0.7547
20220154430,patent,2020,4,0.3114
20220157135,patent,2020,13,0.7096
20220164327,patent,2021,9,0.723
20220170696,patent,2021,5,0.7492
20220176976,patent,2019,7,0.4548
20220180757,patent,2022,7,0.5545
20220183261,patent,2021,10,0.9985
20220187076,patent,2020,0,0.5249
20220188697,patent,2021,9,0.8915
20220189321,patent,2022,7,0.708
20220207135,patent,2021,0,0.4206
20220244127,patent,2020,7,0.3955
20220248203,patent,2021,9,0.4208
20220251809,patent,2020,7,0.3427
20220254249,patent,2020,7,0.3497
20220264255,patent,2022,9,0.2766
20220266882,patent,2020,2,0.9207
20220267002,patent,2020,5,0.3783
20220268578,patent,2022,11,0.7491
20220274019,patent,2021,10,0.5564
20220274707,patent,2020,10,0.3724
20220278728,patent,2022,9,0.9713
20220282820,patent,2022,4,0.7031
20220292240,patent,2022,1,0.7763
20220292619,patent,2022,0,0.375
20220308554,patent,2021,9,0.8834
20220315072,patent,2020,1,0.635
20220316739,patent,2022,4,0.9049
20220327264,patent,2022,1,0.9983
20220335702,patent,2022,12,0.7803
